,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_perplexity_5,"eps=0.2, min_samples=3",-0.34380391240119934,4.588747733215346,1.0096674133562356,12.350648417679116,1.3339625463892213
39-features-Duval-DryA-20min-full-day_perplexity_30,"eps=0.2, min_samples=3",-0.3777751326560974,3.6169643121151385,1.0339506192418901,1.646911550882533,1.2699239560888573
39-features-Duval-DryA-20min-full-day_perplexity_50,"eps=0.2, min_samples=3",-0.48592811822891235,3.8168558512319595,1.1732511403324184,0.9638995911403593,1.24838922823434
39-features-Mourachan-WetA-20min-full-day_perplexity_5,"eps=0.2, min_samples=3",-0.385719895362854,3.642688981805277,1.1407841051066856,15.85063576317624,1.2507703705408089
39-features-Mourachan-WetA-20min-full-day_perplexity_30,"eps=0.2, min_samples=3",-0.3614766299724579,4.370534796000543,0.8745926624948215,2.405533886442532,1.2996800300001397
39-features-Mourachan-WetA-20min-full-day_perplexity_50,"eps=0.2, min_samples=3",-0.6005896329879761,4.079394001901112,1.0421403613857942,0.5613496938323913,1.145760631664365
39-features-Rinyirru-WetB-20min-full-day_perplexity_5,"eps=0.2, min_samples=3",-0.3677852153778076,3.4914438468952254,1.0684941016019693,7.487673545743312,1.2162898563155822
39-features-Rinyirru-WetB-20min-full-day_perplexity_30,"eps=0.4, min_samples=5",-0.2548651099205017,4.706781209035183,1.0700062623461597,0.9451300791612202,1.0800742876800125
39-features-Rinyirru-WetB-20min-full-day_perplexity_50,"eps=0.5, min_samples=6",-0.00534561462700367,5.61923498322197,0.9877439265332885,0.6419298689211326,1.2611312295245518
39-features-Undara-DryB-20min-full-day_perplexity_5,"eps=0.2, min_samples=3",-0.35227108001708984,2.9304096615549837,1.5581751942633184,8.583550511634087,1.3243523168020837
39-features-Undara-DryB-20min-full-day_perplexity_30,"eps=0.5, min_samples=6",-1.0,-1.0,-1.0,-1.0,1.0
39-features-Undara-DryB-20min-full-day_perplexity_50,"eps=0.8, min_samples=9",0.06422122567892075,16.96671140950585,0.8744434642107684,11.650094887647148,2.8231641299867647
39-features-Wambiana-WetA-20min-full-day_perplexity_5,"eps=0.2, min_samples=3",-0.28484997153282166,3.89123845727863,1.1207234166011524,7.318969197252088,1.3020593459922154
39-features-Wambiana-WetA-20min-full-day_perplexity_30,"eps=0.2, min_samples=3",-0.37032100558280945,2.915320047718832,1.9867311443510647,0.9031618162089162,1.2886072567706128
39-features-Wambiana-WetA-20min-full-day_perplexity_50,"eps=0.30000000000000004, min_samples=4",-0.13376009464263916,2.3291386382505124,1.40705340608072,0.30111490125032087,1.2876454775736015
Tarcutta-DryA-20210430_perplexity_5,"eps=0.2, min_samples=3",-0.4087747633457184,3.8140264866926166,1.0839001990315629,13.84590704390289,1.194910853563778
Tarcutta-DryA-20210430_perplexity_30,"eps=0.30000000000000004, min_samples=4",0.07196135818958282,6.516444506910339,0.752448498940067,184.5575211725915,1.8907070044950411
Tarcutta-DryA-20210430_perplexity_50,"eps=0.4, min_samples=5",-1.0,-1.0,-1.0,-1.0,1.0
